,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
198,"(4, 1)","(7, 3)","(10, 4)","(12, 9)","(17, 1)","(21, 1)",,,,,,,,,,,,,,,
199,"(1, 1)","(6, 1)","(7, 1)","(10, 2)","(30, 1)","(88, 1)",,,,,,,,,,,,,,,
200,"(6, 4)","(17, 1)","(30, 1)",,,,,,,,,,,,,,,,,,
201,"(6, 8)","(7, 1)","(10, 3)",,,,,,,,,,,,,,,,,,
202,"(4, 1)","(6, 7)","(10, 1)",,,,,,,,,,,,,,,,,,
203,"(3, 1)","(4, 1)","(7, 5)","(10, 1)","(23, 2)","(28, 1)",,,,,,,,,,,,,,,
204,"(0, 1)","(6, 5)","(17, 1)","(30, 1)",,,,,,,,,,,,,,,,,
205,"(0, 1)","(1, 3)","(4, 3)","(6, 11)","(7, 20)","(14, 1)","(15, 4)","(17, 3)","(21, 1)","(24, 2)","(28, 8)",,,,,,,,,,
206,"(3, 1)","(10, 1)","(17, 1)",,,,,,,,,,,,,,,,,,
207,"(4, 2)","(7, 7)","(10, 20)","(12, 14)","(13, 1)","(14, 1)","(17, 1)","(20, 1)",,,,,,,,,,,,,
208,"(10, 2)","(12, 3)",,,,,,,,,,,,,,,,,,,
209,"(4, 2)","(6, 3)","(10, 1)","(20, 1)","(28, 1)",,,,,,,,,,,,,,,,
210,"(4, 5)","(7, 4)","(10, 2)","(13, 1)","(14, 1)","(20, 2)",,,,,,,,,,,,,,,
211,"(6, 1)","(7, 1)","(10, 1)",,,,,,,,,,,,,,,,,,
212,"(6, 7)","(7, 2)","(10, 4)","(13, 6)","(17, 1)","(19, 1)","(21, 4)","(30, 7)",,,,,,,,,,,,,
213,"(51, 1)",,,,,,,,,,,,,,,,,,,,
214,"(4, 1)","(6, 2)","(7, 2)","(15, 1)","(17, 2)","(23, 2)",,,,,,,,,,,,,,,
215,"(6, 5)","(25, 1)",,,,,,,,,,,,,,,,,,,
216,"(4, 1)","(6, 2)","(7, 1)","(10, 5)","(12, 2)","(13, 1)","(31, 1)",,,,,,,,,,,,,,
217,"(0, 4)","(1, 4)","(3, 4)","(4, 7)","(6, 18)","(7, 35)","(10, 16)","(12, 7)","(13, 1)","(14, 3)","(15, 3)","(17, 4)","(20, 46)","(21, 2)","(28, 3)",,,,,,
218,"(4, 2)","(6, 9)","(7, 2)","(10, 6)","(12, 11)","(16, 1)","(17, 2)","(21, 1)","(22, 2)",,,,,,,,,,,,
219,"(6, 1)","(7, 1)","(10, 1)","(13, 3)",,,,,,,,,,,,,,,,,
220,"(10, 1)",,,,,,,,,,,,,,,,,,,,
221,"(4, 1)","(6, 3)","(7, 2)","(10, 2)","(15, 1)","(23, 2)","(28, 1)",,,,,,,,,,,,,,
222,"(4, 1)","(6, 4)","(7, 4)","(10, 2)","(17, 2)",,,,,,,,,,,,,,,,
223,"(4, 2)","(7, 2)","(10, 5)","(17, 1)","(20, 2)",,,,,,,,,,,,,,,,
224,"(6, 2)","(7, 4)","(10, 3)","(17, 5)",,,,,,,,,,,,,,,,,
225,"(1, 1)","(6, 1)","(7, 4)","(12, 5)","(20, 1)","(27, 1)","(38, 1)","(70, 1)","(80, 1)",,,,,,,,,,,,
226,"(1, 2)","(4, 7)","(7, 18)","(10, 5)","(15, 1)","(20, 1)","(28, 2)",,,,,,,,,,,,,,
227,"(7, 1)","(17, 1)",,,,,,,,,,,,,,,,,,,
228,"(4, 4)","(6, 3)","(7, 1)","(10, 4)","(12, 15)","(17, 2)",,,,,,,,,,,,,,,
229,"(6, 2)","(12, 12)","(15, 2)","(19, 2)","(22, 1)",,,,,,,,,,,,,,,,
230,"(4, 1)","(7, 8)","(10, 5)","(15, 2)","(17, 1)",,,,,,,,,,,,,,,,
231,"(1, 1)","(7, 2)","(10, 1)","(12, 5)",,,,,,,,,,,,,,,,,
232,"(0, 2)","(4, 1)","(6, 11)","(7, 12)","(10, 3)","(13, 1)","(15, 3)","(17, 1)","(40, 4)",,,,,,,,,,,,
233,"(0, 2)","(1, 5)","(4, 2)","(5, 1)","(7, 1)","(12, 2)","(14, 1)","(32, 1)","(76, 1)",,,,,,,,,,,,
234,"(1, 1)","(6, 1)",,,,,,,,,,,,,,,,,,,
235,"(10, 3)",,,,,,,,,,,,,,,,,,,,
236,"(1, 1)","(7, 7)","(10, 6)","(12, 1)","(13, 2)","(19, 2)",,,,,,,,,,,,,,,
237,"(7, 3)","(10, 2)","(13, 2)",,,,,,,,,,,,,,,,,,
238,"(0, 2)","(1, 1)","(6, 1)","(8, 1)","(10, 1)","(31, 1)","(34, 1)","(89, 1)",,,,,,,,,,,,,
239,"(4, 3)","(6, 9)","(7, 20)","(10, 4)","(14, 2)","(15, 5)","(17, 3)",,,,,,,,,,,,,,
240,"(4, 1)","(6, 1)","(7, 4)","(9, 1)","(10, 3)","(12, 9)","(17, 1)","(90, 1)",,,,,,,,,,,,,
241,"(0, 1)","(7, 1)","(19, 1)","(23, 1)",,,,,,,,,,,,,,,,,
242,"(4, 2)","(5, 1)","(6, 6)","(10, 1)","(20, 1)","(30, 2)","(39, 1)",,,,,,,,,,,,,,
243,"(4, 1)","(10, 2)","(13, 8)","(17, 1)","(39, 2)",,,,,,,,,,,,,,,,
244,"(7, 1)","(12, 1)","(17, 3)","(20, 3)",,,,,,,,,,,,,,,,,
245,"(7, 1)","(13, 3)","(14, 1)",,,,,,,,,,,,,,,,,,
246,"(4, 4)","(6, 3)","(7, 5)","(10, 1)",,,,,,,,,,,,,,,,,
247,"(4, 1)","(7, 2)","(10, 3)","(13, 1)","(20, 2)",,,,,,,,,,,,,,,,
248,"(4, 1)","(10, 1)","(19, 1)","(30, 1)",,,,,,,,,,,,,,,,,
249,"(1, 1)","(7, 3)","(10, 4)",,,,,,,,,,,,,,,,,,
250,"(6, 1)","(7, 5)","(10, 1)","(12, 7)",,,,,,,,,,,,,,,,,
251,"(3, 1)","(4, 4)","(6, 1)","(7, 3)","(10, 3)","(12, 1)","(13, 1)","(22, 1)","(27, 3)","(28, 2)",,,,,,,,,,,
252,"(4, 2)","(6, 6)","(10, 3)","(12, 1)","(13, 2)","(30, 3)",,,,,,,,,,,,,,,
253,"(6, 1)",,,,,,,,,,,,,,,,,,,,
254,"(7, 1)","(10, 1)","(12, 2)","(17, 1)","(19, 1)","(22, 2)",,,,,,,,,,,,,,,
255,"(3, 1)","(4, 2)","(7, 4)","(13, 12)","(17, 1)",,,,,,,,,,,,,,,,
256,"(7, 3)","(10, 3)","(14, 2)","(20, 4)","(23, 1)","(91, 1)",,,,,,,,,,,,,,,
257,"(10, 1)","(34, 2)",,,,,,,,,,,,,,,,,,,
258,"(4, 1)","(6, 3)","(7, 4)","(10, 1)","(14, 1)","(35, 1)",,,,,,,,,,,,,,,
259,"(0, 1)","(4, 1)","(6, 2)","(7, 4)","(10, 4)","(12, 2)","(17, 2)",,,,,,,,,,,,,,
260,"(4, 3)","(7, 13)","(10, 8)","(14, 1)","(17, 7)",,,,,,,,,,,,,,,,
261,"(1, 1)","(4, 2)","(7, 7)","(10, 6)","(20, 1)","(28, 6)","(67, 2)",,,,,,,,,,,,,,
262,"(0, 4)","(4, 2)","(6, 3)","(10, 1)","(12, 1)","(13, 3)","(22, 1)","(39, 3)","(53, 3)",,,,,,,,,,,,
263,"(4, 1)","(6, 7)","(7, 2)","(10, 7)","(12, 4)","(13, 7)","(14, 1)",,,,,,,,,,,,,,
264,"(4, 5)","(7, 11)","(10, 12)","(15, 2)","(17, 2)","(20, 2)","(73, 1)",,,,,,,,,,,,,,
265,"(4, 1)","(7, 9)","(10, 1)","(28, 1)",,,,,,,,,,,,,,,,,
266,"(4, 2)","(6, 3)","(7, 1)","(10, 3)","(12, 1)","(15, 1)",,,,,,,,,,,,,,,
267,"(6, 2)","(7, 6)","(12, 1)","(13, 1)","(17, 1)","(20, 1)","(28, 1)",,,,,,,,,,,,,,
268,"(7, 2)","(10, 1)","(12, 2)","(19, 1)",,,,,,,,,,,,,,,,,
269,"(0, 1)","(1, 2)","(4, 2)","(6, 1)","(7, 2)","(10, 2)","(12, 20)","(14, 1)","(17, 6)","(20, 1)","(22, 2)","(31, 1)",,,,,,,,,
270,"(1, 4)","(4, 1)","(7, 4)","(10, 2)","(12, 2)","(24, 1)","(30, 2)","(32, 1)",,,,,,,,,,,,,
271,"(0, 1)","(1, 2)","(4, 1)","(6, 1)",,,,,,,,,,,,,,,,,
272,"(4, 1)","(6, 5)","(7, 1)","(10, 2)",,,,,,,,,,,,,,,,,
273,"(4, 1)","(7, 6)","(10, 3)","(17, 4)",,,,,,,,,,,,,,,,,
274,"(6, 2)","(7, 1)","(10, 2)","(12, 1)","(22, 1)",,,,,,,,,,,,,,,,
275,"(7, 1)","(10, 2)","(17, 1)",,,,,,,,,,,,,,,,,,
276,"(4, 3)","(7, 10)","(10, 13)","(13, 1)","(14, 1)","(17, 5)","(20, 2)","(25, 1)",,,,,,,,,,,,,
277,"(4, 1)","(7, 1)","(10, 2)","(12, 3)","(17, 1)",,,,,,,,,,,,,,,,
278,"(6, 1)","(40, 1)",,,,,,,,,,,,,,,,,,,
279,"(0, 2)","(1, 1)","(3, 1)","(7, 8)","(9, 1)","(15, 2)","(57, 1)",,,,,,,,,,,,,,
280,"(4, 1)","(7, 1)","(10, 2)","(17, 1)","(20, 3)",,,,,,,,,,,,,,,,
281,"(7, 1)",,,,,,,,,,,,,,,,,,,,
282,"(0, 2)","(1, 1)","(9, 1)","(10, 4)",,,,,,,,,,,,,,,,,
283,"(4, 1)","(7, 5)",,,,,,,,,,,,,,,,,,,
284,"(6, 8)","(10, 1)","(21, 1)","(30, 2)","(40, 1)",,,,,,,,,,,,,,,,
285,"(7, 4)","(10, 6)",,,,,,,,,,,,,,,,,,,
286,"(4, 1)","(6, 5)","(10, 1)","(12, 3)","(40, 2)",,,,,,,,,,,,,,,,
287,"(6, 8)","(12, 2)","(20, 2)",,,,,,,,,,,,,,,,,,
288,"(4, 2)","(7, 4)","(10, 3)","(14, 1)","(15, 1)","(17, 1)",,,,,,,,,,,,,,,
289,"(6, 3)","(10, 1)","(12, 1)",,,,,,,,,,,,,,,,,,
290,"(4, 2)","(6, 1)","(7, 3)","(10, 16)","(13, 1)","(14, 2)","(20, 2)",,,,,,,,,,,,,,
291,"(0, 1)","(10, 2)","(17, 1)",,,,,,,,,,,,,,,,,,
292,"(0, 3)","(1, 1)","(3, 1)","(6, 1)","(12, 1)","(13, 15)","(24, 1)","(46, 1)",,,,,,,,,,,,,
293,"(4, 1)","(7, 13)","(20, 1)",,,,,,,,,,,,,,,,,,
294,"(0, 2)","(1, 2)","(4, 1)","(6, 3)","(7, 1)","(10, 1)","(12, 2)","(17, 2)","(20, 2)","(43, 2)",,,,,,,,,,,
295,"(4, 2)","(5, 1)","(6, 2)","(7, 4)","(10, 11)","(12, 3)","(13, 3)","(16, 1)","(20, 1)","(22, 3)","(34, 1)","(39, 1)",,,,,,,,,
296,"(10, 2)","(13, 6)",,,,,,,,,,,,,,,,,,,
297,"(7, 3)","(10, 1)","(17, 1)",,,,,,,,,,,,,,,,,,
298,"(4, 1)","(6, 3)","(7, 2)","(10, 1)","(12, 4)","(14, 1)","(15, 1)","(43, 2)","(80, 1)","(88, 1)",,,,,,,,,,,
299,"(51, 1)",,,,,,,,,,,,,,,,,,,,
300,"(1, 1)","(6, 7)","(12, 1)","(30, 1)",,,,,,,,,,,,,,,,,
301,"(0, 1)","(1, 1)","(5, 1)","(6, 2)","(12, 2)","(15, 1)","(17, 1)","(19, 1)","(58, 1)",,,,,,,,,,,,
302,"(1, 3)","(4, 1)","(6, 5)","(7, 3)","(9, 1)","(10, 3)","(37, 1)","(38, 1)","(58, 1)",,,,,,,,,,,,
303,"(1, 8)","(10, 1)","(12, 1)","(14, 1)",,,,,,,,,,,,,,,,,
304,"(0, 2)","(7, 1)","(12, 5)",,,,,,,,,,,,,,,,,,
305,"(4, 1)","(7, 2)","(10, 9)","(13, 2)","(17, 2)","(21, 1)",,,,,,,,,,,,,,,
306,"(0, 4)","(1, 2)","(4, 4)","(6, 3)","(7, 6)","(12, 3)","(17, 2)","(30, 1)","(32, 1)","(37, 1)","(43, 1)",,,,,,,,,,
307,"(0, 1)","(4, 5)","(6, 5)","(7, 1)","(10, 1)","(12, 6)","(17, 3)",,,,,,,,,,,,,,
308,"(4, 1)","(6, 3)","(7, 1)","(10, 2)","(12, 1)","(20, 3)","(31, 1)",,,,,,,,,,,,,,
309,"(10, 1)","(12, 1)","(17, 2)","(20, 2)",,,,,,,,,,,,,,,,,
310,"(51, 1)",,,,,,,,,,,,,,,,,,,,
311,"(0, 1)","(1, 3)","(4, 1)","(6, 1)","(7, 1)","(9, 1)","(10, 1)","(12, 6)","(25, 1)",,,,,,,,,,,,
312,"(0, 2)","(1, 1)","(3, 1)","(4, 1)","(6, 7)","(7, 6)","(10, 1)","(17, 1)",,,,,,,,,,,,,
313,"(4, 1)","(6, 7)","(7, 3)","(10, 3)","(12, 4)","(17, 1)","(54, 1)","(72, 1)",,,,,,,,,,,,,
314,"(4, 3)","(6, 8)","(7, 3)","(10, 11)","(12, 1)","(15, 4)","(17, 2)","(28, 2)",,,,,,,,,,,,,
315,"(6, 2)","(28, 4)",,,,,,,,,,,,,,,,,,,
316,"(4, 1)","(6, 3)","(7, 1)",,,,,,,,,,,,,,,,,,
317,"(7, 1)","(13, 1)",,,,,,,,,,,,,,,,,,,
318,"(4, 2)","(6, 1)","(7, 7)","(10, 7)","(13, 1)","(15, 1)","(17, 1)","(19, 1)","(20, 3)",,,,,,,,,,,,
319,"(0, 4)","(1, 4)","(6, 5)","(10, 3)","(14, 2)",,,,,,,,,,,,,,,,
320,"(7, 3)","(10, 1)","(15, 2)","(17, 1)",,,,,,,,,,,,,,,,,
321,"(6, 1)","(7, 2)","(10, 2)","(12, 1)","(13, 4)","(17, 1)",,,,,,,,,,,,,,,
322,"(7, 4)","(10, 1)","(13, 4)","(14, 1)","(17, 1)","(19, 3)","(20, 1)","(46, 6)",,,,,,,,,,,,,
323,"(4, 1)","(7, 3)","(10, 3)","(13, 12)","(14, 1)","(15, 4)","(20, 1)","(30, 2)",,,,,,,,,,,,,
324,"(4, 2)","(6, 3)","(10, 2)","(28, 2)",,,,,,,,,,,,,,,,,
325,"(6, 1)","(7, 5)","(10, 1)","(13, 5)","(17, 3)","(40, 1)",,,,,,,,,,,,,,,
326,"(6, 4)","(7, 3)","(10, 2)","(12, 3)","(13, 1)","(14, 1)","(15, 1)","(17, 2)",,,,,,,,,,,,,
327,"(7, 3)","(10, 2)",,,,,,,,,,,,,,,,,,,
328,"(4, 1)","(10, 2)","(19, 1)",,,,,,,,,,,,,,,,,,
329,"(6, 2)","(13, 2)","(15, 2)","(28, 2)",,,,,,,,,,,,,,,,,
330,"(0, 1)","(1, 1)","(4, 1)","(5, 1)","(6, 2)","(7, 1)","(12, 3)","(13, 1)",,,,,,,,,,,,,
331,"(4, 1)","(7, 1)","(10, 3)",,,,,,,,,,,,,,,,,,
332,"(12, 1)",,,,,,,,,,,,,,,,,,,,
333,"(1, 1)","(6, 11)","(10, 2)","(12, 1)","(17, 1)","(40, 1)",,,,,,,,,,,,,,,
334,"(3, 1)","(6, 1)","(10, 1)","(12, 1)","(13, 2)","(17, 1)",,,,,,,,,,,,,,,
335,"(4, 1)","(22, 3)",,,,,,,,,,,,,,,,,,,
336,"(14, 1)",,,,,,,,,,,,,,,,,,,,
337,"(0, 1)","(7, 2)","(10, 1)","(12, 4)","(20, 2)","(24, 1)","(30, 1)","(32, 3)","(38, 1)","(43, 1)","(92, 1)",,,,,,,,,,
338,"(6, 5)","(10, 2)","(14, 1)",,,,,,,,,,,,,,,,,,
339,"(4, 1)","(6, 1)","(7, 2)","(10, 3)","(13, 1)","(39, 1)",,,,,,,,,,,,,,,
340,"(0, 1)","(1, 1)","(4, 1)","(5, 1)","(6, 9)","(10, 10)","(12, 10)","(13, 2)","(19, 2)","(22, 1)","(32, 2)","(39, 1)","(93, 2)",,,,,,,,
341,"(6, 3)","(7, 3)","(10, 3)","(13, 11)","(17, 1)","(20, 7)",,,,,,,,,,,,,,,
342,"(1, 1)","(4, 1)","(6, 3)","(12, 2)","(28, 1)",,,,,,,,,,,,,,,,
343,"(6, 5)","(10, 1)","(12, 2)","(20, 1)","(40, 1)",,,,,,,,,,,,,,,,
344,"(1, 1)","(4, 1)","(7, 2)","(10, 4)","(12, 4)","(17, 1)",,,,,,,,,,,,,,,
345,"(10, 9)","(13, 4)","(14, 1)",,,,,,,,,,,,,,,,,,
346,"(7, 2)","(10, 2)","(20, 1)",,,,,,,,,,,,,,,,,,
347,"(0, 2)","(1, 1)","(7, 1)","(10, 2)","(12, 2)","(20, 1)",,,,,,,,,,,,,,,
348,"(4, 1)","(6, 2)","(7, 6)","(13, 1)","(15, 1)","(20, 4)",,,,,,,,,,,,,,,
349,"(10, 1)","(12, 2)",,,,,,,,,,,,,,,,,,,
350,"(4, 10)","(6, 2)","(7, 22)","(10, 2)","(12, 33)","(13, 2)","(14, 4)","(15, 2)","(16, 2)","(17, 8)","(20, 3)","(21, 2)","(23, 5)","(25, 2)","(91, 2)",,,,,,
351,"(4, 2)","(7, 7)","(10, 1)","(17, 1)",,,,,,,,,,,,,,,,,
352,"(1, 1)","(6, 2)","(7, 2)","(10, 1)","(12, 1)",,,,,,,,,,,,,,,,
353,"(6, 2)","(7, 2)","(17, 2)",,,,,,,,,,,,,,,,,,
354,"(0, 1)","(6, 1)","(12, 1)",,,,,,,,,,,,,,,,,,
355,"(9, 1)",,,,,,,,,,,,,,,,,,,,
356,"(4, 6)","(7, 1)","(17, 1)","(20, 1)",,,,,,,,,,,,,,,,,
357,"(0, 5)","(1, 3)","(7, 11)","(10, 2)","(20, 1)",,,,,,,,,,,,,,,,
358,"(0, 3)","(6, 5)","(10, 1)",,,,,,,,,,,,,,,,,,
359,"(4, 1)","(6, 1)","(8, 1)","(10, 4)","(17, 1)","(24, 1)",,,,,,,,,,,,,,,
360,"(4, 1)","(7, 7)","(10, 4)","(13, 1)","(46, 1)",,,,,,,,,,,,,,,,
361,"(4, 2)","(6, 9)","(7, 1)","(10, 2)","(15, 3)","(17, 1)","(28, 1)",,,,,,,,,,,,,,
362,"(4, 1)","(7, 4)","(17, 1)","(20, 1)",,,,,,,,,,,,,,,,,
363,"(1, 1)","(6, 2)","(10, 1)","(17, 1)","(20, 1)","(24, 1)",,,,,,,,,,,,,,,
364,"(1, 1)","(4, 2)","(6, 2)","(7, 1)","(15, 1)",,,,,,,,,,,,,,,,
365,"(1, 1)","(6, 6)","(7, 2)","(21, 1)","(30, 1)","(40, 3)","(43, 1)","(84, 1)",,,,,,,,,,,,,
366,"(13, 2)","(46, 1)","(56, 1)",,,,,,,,,,,,,,,,,,
367,"(6, 2)","(10, 1)",,,,,,,,,,,,,,,,,,,
368,"(0, 2)","(6, 1)","(7, 2)","(10, 2)","(12, 1)","(15, 4)","(28, 6)","(32, 1)","(94, 1)",,,,,,,,,,,,
369,"(4, 1)","(5, 1)","(6, 1)","(7, 3)","(10, 1)","(15, 1)","(20, 2)",,,,,,,,,,,,,,
370,"(6, 1)","(7, 1)","(28, 1)",,,,,,,,,,,,,,,,,,
371,"(7, 6)","(10, 2)",,,,,,,,,,,,,,,,,,,
372,"(1, 2)","(6, 3)","(8, 1)",,,,,,,,,,,,,,,,,,
373,"(7, 2)","(20, 1)","(28, 1)",,,,,,,,,,,,,,,,,,
374,"(4, 17)","(10, 7)","(17, 6)",,,,,,,,,,,,,,,,,,
375,"(7, 1)",,,,,,,,,,,,,,,,,,,,
376,"(6, 7)","(31, 1)",,,,,,,,,,,,,,,,,,,
377,"(1, 1)","(4, 1)","(7, 2)","(10, 1)","(17, 1)","(30, 1)",,,,,,,,,,,,,,,
378,"(4, 2)","(7, 7)","(10, 3)","(12, 1)",,,,,,,,,,,,,,,,,
379,"(0, 1)","(9, 3)",,,,,,,,,,,,,,,,,,,
380,"(1, 1)","(4, 2)","(6, 2)","(7, 17)","(10, 3)","(13, 1)","(15, 7)",,,,,,,,,,,,,,
381,"(4, 1)","(6, 7)","(12, 1)","(40, 1)",,,,,,,,,,,,,,,,,
382,"(1, 1)","(4, 1)","(7, 15)","(10, 1)","(12, 2)","(15, 1)","(25, 1)",,,,,,,,,,,,,,
383,"(0, 1)","(4, 2)","(7, 3)","(10, 1)","(17, 2)","(28, 1)","(43, 1)",,,,,,,,,,,,,,
384,"(4, 1)","(6, 2)","(7, 1)","(10, 4)","(12, 1)","(14, 2)",,,,,,,,,,,,,,,
385,"(6, 6)","(10, 1)","(12, 4)","(15, 1)","(20, 2)","(30, 1)","(43, 1)",,,,,,,,,,,,,,
386,"(6, 1)","(10, 3)","(12, 4)","(22, 4)","(31, 1)",,,,,,,,,,,,,,,,
387,"(4, 1)","(7, 4)","(10, 2)","(12, 9)","(14, 1)","(17, 2)",,,,,,,,,,,,,,,
388,"(4, 4)","(7, 16)","(10, 11)","(13, 11)","(14, 1)","(17, 2)","(20, 7)","(21, 1)","(22, 1)","(30, 8)","(72, 1)",,,,,,,,,,
389,"(4, 1)","(6, 2)","(7, 1)","(20, 1)",,,,,,,,,,,,,,,,,
390,"(6, 1)","(28, 1)",,,,,,,,,,,,,,,,,,,
391,"(4, 1)","(6, 2)","(22, 1)","(24, 1)","(34, 2)",,,,,,,,,,,,,,,,
392,"(4, 1)","(6, 3)","(10, 2)","(12, 7)",,,,,,,,,,,,,,,,,
393,"(1, 1)","(4, 1)","(6, 1)","(7, 2)","(10, 2)",,,,,,,,,,,,,,,,
394,"(1, 1)","(6, 11)","(7, 3)","(10, 3)","(14, 1)","(15, 1)","(17, 1)","(20, 1)","(28, 1)",,,,,,,,,,,,
395,"(1, 2)","(17, 1)","(32, 3)","(55, 1)",,,,,,,,,,,,,,,,,
396,"(6, 20)","(58, 4)",,,,,,,,,,,,,,,,,,,
397,"(6, 3)","(10, 1)","(39, 1)",,,,,,,,,,,,,,,,,,
398,"(6, 15)","(7, 5)","(10, 2)","(17, 1)","(30, 2)","(40, 1)",,,,,,,,,,,,,,,
399,"(0, 1)","(1, 1)","(5, 1)","(6, 3)","(7, 1)","(10, 2)","(12, 1)","(13, 1)","(17, 1)","(22, 1)","(30, 1)","(32, 1)","(58, 1)",,,,,,,,
400,"(1, 3)","(4, 1)","(12, 1)","(43, 1)",,,,,,,,,,,,,,,,,
401,"(0, 1)","(6, 4)","(10, 1)","(14, 1)","(21, 1)","(30, 1)","(59, 1)","(87, 1)",,,,,,,,,,,,,
402,"(51, 1)",,,,,,,,,,,,,,,,,,,,
403,"(51, 1)",,,,,,,,,,,,,,,,,,,,
404,"(1, 1)","(6, 3)","(7, 1)","(10, 1)","(43, 1)",,,,,,,,,,,,,,,,
405,"(51, 1)",,,,,,,,,,,,,,,,,,,,
406,"(4, 1)","(7, 6)","(17, 4)",,,,,,,,,,,,,,,,,,
407,"(7, 1)",,,,,,,,,,,,,,,,,,,,
408,"(4, 4)","(6, 2)","(10, 1)","(15, 5)","(20, 1)",,,,,,,,,,,,,,,,
409,"(10, 1)","(15, 2)","(32, 1)",,,,,,,,,,,,,,,,,,
410,"(6, 5)","(7, 1)","(10, 2)","(14, 2)",,,,,,,,,,,,,,,,,
411,"(7, 3)","(10, 1)","(13, 3)","(17, 1)",,,,,,,,,,,,,,,,,
412,"(0, 1)","(4, 1)","(6, 1)","(7, 2)","(10, 1)",,,,,,,,,,,,,,,,
413,"(4, 1)","(6, 3)","(7, 7)","(10, 2)","(28, 6)",,,,,,,,,,,,,,,,
414,"(1, 1)","(5, 1)","(6, 21)","(7, 8)","(10, 7)","(13, 1)","(14, 1)","(20, 2)","(21, 2)","(22, 1)","(66, 1)",,,,,,,,,,
415,"(0, 3)","(6, 5)","(10, 2)","(17, 1)","(43, 1)",,,,,,,,,,,,,,,,
416,"(3, 1)","(6, 5)","(7, 2)","(9, 1)","(10, 1)","(12, 5)","(17, 2)","(20, 1)","(79, 1)",,,,,,,,,,,,
417,"(4, 1)","(6, 7)","(7, 15)","(10, 1)","(15, 1)","(28, 1)",,,,,,,,,,,,,,,
418,"(4, 7)","(6, 1)","(7, 1)","(10, 8)","(15, 1)","(17, 9)","(20, 3)","(23, 1)","(28, 1)",,,,,,,,,,,,
419,"(10, 1)",,,,,,,,,,,,,,,,,,,,
420,"(0, 1)","(9, 1)","(10, 1)",,,,,,,,,,,,,,,,,,
421,"(3, 1)","(4, 1)","(6, 3)","(7, 1)","(10, 2)","(12, 1)","(31, 1)",,,,,,,,,,,,,,
422,"(0, 2)","(4, 1)","(9, 1)","(10, 1)","(15, 1)",,,,,,,,,,,,,,,,
423,"(0, 1)","(1, 2)","(4, 2)","(5, 1)","(6, 3)","(7, 8)","(8, 3)","(10, 1)","(12, 2)","(14, 7)","(21, 1)",,,,,,,,,,
424,"(0, 1)","(7, 1)","(15, 1)","(23, 1)",,,,,,,,,,,,,,,,,
425,"(6, 1)","(7, 1)",,,,,,,,,,,,,,,,,,,
426,"(6, 2)","(10, 1)","(12, 1)","(14, 1)","(22, 1)","(95, 1)",,,,,,,,,,,,,,,
427,"(4, 1)","(6, 8)","(7, 2)","(10, 2)","(12, 1)","(17, 1)","(20, 4)","(28, 1)","(89, 1)",,,,,,,,,,,,
428,"(4, 1)","(6, 8)","(7, 2)","(10, 3)","(12, 3)","(20, 1)","(25, 1)","(31, 5)","(64, 1)",,,,,,,,,,,,
429,"(6, 5)","(12, 5)","(43, 1)",,,,,,,,,,,,,,,,,,
430,"(4, 1)","(13, 4)","(22, 1)","(25, 1)","(31, 3)",,,,,,,,,,,,,,,,
431,"(0, 3)","(4, 3)","(6, 4)","(7, 3)","(10, 1)","(12, 4)","(17, 1)","(19, 1)","(25, 1)",,,,,,,,,,,,
432,"(0, 3)","(4, 1)","(5, 1)","(14, 1)","(32, 1)","(80, 2)",,,,,,,,,,,,,,,
433,"(0, 1)","(6, 4)","(12, 2)","(30, 2)",,,,,,,,,,,,,,,,,
434,"(4, 4)","(7, 1)",,,,,,,,,,,,,,,,,,,
435,"(4, 1)","(6, 16)","(10, 2)","(15, 1)","(20, 7)","(28, 2)",,,,,,,,,,,,,,,
436,"(10, 1)",,,,,,,,,,,,,,,,,,,,
437,"(6, 8)","(7, 1)",,,,,,,,,,,,,,,,,,,
438,"(6, 1)","(10, 1)","(15, 1)",,,,,,,,,,,,,,,,,,
439,"(10, 3)","(13, 1)",,,,,,,,,,,,,,,,,,,
440,"(4, 1)","(6, 4)","(7, 1)",,,,,,,,,,,,,,,,,,
441,"(4, 1)","(6, 2)","(13, 1)","(14, 2)","(15, 1)","(17, 1)","(20, 2)",,,,,,,,,,,,,,
442,"(3, 2)","(4, 2)","(6, 11)","(7, 15)","(10, 3)","(12, 2)","(17, 2)","(23, 2)",,,,,,,,,,,,,
443,"(10, 1)",,,,,,,,,,,,,,,,,,,,
444,"(10, 1)","(15, 2)",,,,,,,,,,,,,,,,,,,
445,"(6, 6)","(7, 2)","(13, 2)","(14, 2)","(15, 1)","(17, 1)","(20, 1)",,,,,,,,,,,,,,
446,"(4, 5)","(6, 1)","(20, 2)","(28, 1)",,,,,,,,,,,,,,,,,
447,"(7, 4)","(9, 1)","(10, 1)","(12, 8)","(17, 1)","(21, 1)",,,,,,,,,,,,,,,
448,"(1, 1)","(6, 1)","(13, 3)","(20, 4)",,,,,,,,,,,,,,,,,
449,"(1, 1)","(3, 1)","(4, 4)","(6, 8)","(7, 8)","(10, 4)","(12, 2)","(13, 1)","(17, 5)","(20, 1)","(21, 2)","(22, 1)","(91, 1)",,,,,,,,
450,"(10, 5)","(12, 2)","(13, 5)","(17, 1)",,,,,,,,,,,,,,,,,
