,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
41,"(4, 1)","(6, 1)","(7, 13)","(10, 1)","(12, 5)","(14, 1)","(17, 2)","(22, 2)","(39, 1)","(57, 1)",,,,,,,,,,,
42,"(3, 1)","(7, 1)","(12, 10)","(13, 2)","(14, 2)","(25, 4)","(48, 4)",,,,,,,,,,,,,,
43,"(4, 8)","(5, 2)","(6, 4)","(7, 36)","(10, 9)","(12, 1)","(13, 3)","(14, 2)","(17, 4)","(28, 1)","(43, 1)","(47, 1)","(59, 1)",,,,,,,,
44,"(6, 1)","(7, 1)","(10, 2)","(13, 11)","(17, 3)","(20, 1)","(25, 1)",,,,,,,,,,,,,,
45,"(4, 18)","(7, 8)","(10, 21)","(12, 1)","(15, 1)","(17, 8)","(20, 7)",,,,,,,,,,,,,,
46,"(6, 4)","(10, 3)","(14, 1)",,,,,,,,,,,,,,,,,,
47,"(0, 1)","(6, 3)","(7, 3)","(10, 3)","(17, 2)","(20, 3)","(28, 1)","(30, 1)",,,,,,,,,,,,,
48,"(4, 3)","(7, 8)","(10, 17)","(13, 1)","(15, 1)","(17, 3)","(35, 1)",,,,,,,,,,,,,,
49,"(3, 1)","(5, 2)","(6, 4)","(7, 2)","(10, 2)","(12, 1)","(13, 5)","(15, 9)","(17, 2)","(58, 11)","(60, 2)",,,,,,,,,,
50,"(3, 1)","(4, 2)","(7, 2)","(10, 4)","(13, 25)","(14, 1)","(21, 1)","(24, 1)","(25, 1)","(46, 1)",,,,,,,,,,,
51,"(0, 1)","(1, 1)","(7, 4)","(13, 1)","(17, 2)","(21, 1)","(53, 6)",,,,,,,,,,,,,,
52,"(4, 5)","(6, 10)","(7, 8)","(10, 11)","(12, 6)","(13, 4)","(14, 2)","(17, 1)","(22, 1)","(31, 1)","(61, 1)",,,,,,,,,,
53,"(3, 1)","(4, 10)","(6, 4)","(7, 69)","(10, 6)","(12, 8)","(14, 1)","(15, 2)","(17, 2)","(20, 6)","(62, 1)",,,,,,,,,,
54,"(0, 4)","(1, 2)","(4, 2)","(5, 1)","(6, 1)","(7, 10)","(10, 3)","(12, 1)","(13, 1)","(14, 2)","(17, 3)","(32, 2)","(38, 1)","(43, 1)",,,,,,,
55,"(4, 3)","(7, 4)","(10, 5)","(12, 23)","(13, 1)","(22, 1)","(25, 1)","(60, 1)",,,,,,,,,,,,,
56,"(0, 1)","(6, 15)","(7, 2)","(12, 1)","(17, 1)",,,,,,,,,,,,,,,,
57,"(0, 3)","(1, 1)","(4, 6)","(6, 6)","(10, 6)","(12, 3)","(13, 6)","(14, 3)","(17, 2)","(19, 3)","(25, 1)","(39, 1)","(58, 1)","(63, 1)",,,,,,,
58,"(0, 2)","(1, 1)","(4, 1)","(10, 1)","(12, 10)","(22, 1)","(24, 1)","(31, 2)",,,,,,,,,,,,,
59,"(6, 1)","(7, 5)","(10, 5)","(12, 1)","(13, 1)","(17, 1)",,,,,,,,,,,,,,,
60,"(1, 1)","(3, 1)","(4, 3)","(5, 2)","(6, 2)","(7, 6)","(17, 1)","(19, 3)","(58, 1)",,,,,,,,,,,,
61,"(4, 6)","(6, 1)","(7, 10)","(10, 6)","(12, 16)","(14, 1)","(17, 3)","(20, 2)","(28, 1)","(31, 1)",,,,,,,,,,,
62,"(1, 1)","(6, 6)","(7, 9)","(10, 9)","(12, 1)","(28, 1)",,,,,,,,,,,,,,,
63,"(0, 6)","(1, 5)","(6, 1)","(12, 17)","(14, 1)",,,,,,,,,,,,,,,,
64,"(0, 1)","(7, 2)","(12, 9)","(17, 1)","(21, 1)","(64, 1)",,,,,,,,,,,,,,,
65,"(0, 4)","(3, 2)","(4, 6)","(5, 2)","(6, 3)","(7, 15)","(10, 7)","(13, 10)","(15, 3)","(16, 1)","(19, 1)","(34, 1)","(39, 2)","(46, 2)","(65, 1)","(66, 1)",,,,,
66,"(4, 2)","(7, 1)","(12, 3)","(13, 1)","(14, 1)",,,,,,,,,,,,,,,,
67,"(0, 1)","(1, 2)","(4, 3)","(6, 7)","(7, 8)","(9, 1)","(10, 4)","(12, 8)","(16, 1)","(17, 2)","(32, 1)","(67, 3)",,,,,,,,,
68,"(6, 1)","(7, 6)","(9, 1)","(10, 14)","(12, 3)","(13, 5)","(14, 3)","(17, 5)","(20, 14)",,,,,,,,,,,,
69,"(6, 2)","(9, 1)","(10, 3)","(12, 3)","(13, 5)","(19, 7)","(31, 1)","(68, 3)","(69, 4)",,,,,,,,,,,,
70,"(1, 1)","(4, 7)","(6, 1)","(7, 23)","(10, 11)","(17, 14)","(20, 1)","(21, 1)",,,,,,,,,,,,,
71,"(1, 1)","(4, 2)","(6, 4)","(7, 7)","(10, 3)","(12, 1)","(17, 1)","(70, 1)",,,,,,,,,,,,,
72,"(7, 1)","(13, 3)","(14, 1)",,,,,,,,,,,,,,,,,,
73,"(1, 2)","(4, 2)","(6, 10)","(7, 1)","(10, 2)","(12, 1)","(20, 4)","(31, 5)","(71, 1)",,,,,,,,,,,,
74,"(7, 7)","(10, 3)","(14, 1)","(17, 3)","(20, 1)",,,,,,,,,,,,,,,,
75,"(6, 1)","(7, 1)","(10, 2)","(13, 2)","(17, 1)","(43, 1)",,,,,,,,,,,,,,,
76,"(0, 4)","(4, 1)","(6, 9)","(7, 7)","(10, 9)","(12, 4)","(13, 27)","(14, 7)","(17, 5)","(19, 7)","(39, 2)","(43, 1)","(61, 2)","(69, 1)","(72, 1)",,,,,,
77,"(0, 1)","(4, 3)","(6, 1)","(7, 1)","(10, 1)","(12, 5)","(15, 3)","(28, 3)","(30, 3)","(43, 2)",,,,,,,,,,,
78,"(7, 1)","(10, 2)","(12, 8)","(13, 2)","(17, 1)","(28, 1)",,,,,,,,,,,,,,,
79,"(0, 1)","(4, 3)","(6, 3)","(7, 1)","(13, 1)","(14, 1)","(17, 3)","(31, 2)","(46, 1)",,,,,,,,,,,,
80,"(16, 1)",,,,,,,,,,,,,,,,,,,,
81,"(4, 2)","(6, 23)","(7, 2)","(10, 5)","(12, 2)","(17, 4)","(40, 1)","(43, 1)",,,,,,,,,,,,,
82,"(0, 3)","(1, 1)","(4, 6)","(6, 9)","(7, 10)","(10, 36)","(12, 5)","(13, 2)","(14, 1)","(16, 2)","(17, 7)","(20, 3)","(22, 1)","(28, 1)","(30, 1)","(73, 2)",,,,,
83,"(1, 1)","(4, 5)","(6, 6)","(7, 19)","(10, 14)","(12, 12)","(13, 4)","(15, 1)","(17, 2)","(19, 1)","(50, 1)","(56, 1)","(58, 1)","(74, 1)",,,,,,,
84,"(4, 2)","(6, 1)","(7, 4)","(10, 3)","(12, 2)","(13, 1)","(17, 1)","(20, 1)","(30, 1)","(48, 1)",,,,,,,,,,,
85,"(0, 1)","(1, 2)","(5, 1)","(6, 1)","(7, 1)","(17, 1)","(25, 1)","(31, 1)","(50, 1)",,,,,,,,,,,,
86,"(6, 1)","(7, 3)","(10, 6)","(13, 2)","(17, 1)","(21, 14)",,,,,,,,,,,,,,,
87,"(4, 4)","(7, 27)","(10, 10)","(12, 3)","(13, 24)","(17, 4)","(20, 3)","(32, 1)","(46, 1)","(75, 1)",,,,,,,,,,,
88,"(6, 2)","(7, 2)","(8, 3)","(10, 4)","(14, 1)","(16, 1)","(67, 1)","(76, 1)",,,,,,,,,,,,,
89,"(3, 1)","(13, 2)","(17, 2)","(21, 1)",,,,,,,,,,,,,,,,,
90,"(0, 1)","(1, 3)","(4, 7)","(7, 27)","(10, 7)","(12, 1)","(13, 1)","(15, 1)","(17, 4)","(20, 7)","(43, 3)","(56, 1)",,,,,,,,,
91,"(6, 1)","(7, 2)","(12, 9)","(14, 4)","(17, 1)",,,,,,,,,,,,,,,,
92,"(4, 2)","(7, 2)","(10, 3)","(12, 2)","(13, 1)","(14, 1)","(16, 1)","(17, 1)","(20, 2)",,,,,,,,,,,,
93,"(1, 6)","(4, 1)","(6, 1)","(7, 1)","(10, 4)","(12, 3)","(21, 3)","(30, 4)",,,,,,,,,,,,,
94,"(6, 2)","(7, 1)","(14, 6)","(59, 2)",,,,,,,,,,,,,,,,,
95,"(6, 3)","(31, 1)",,,,,,,,,,,,,,,,,,,
96,"(4, 2)","(7, 1)","(13, 5)","(58, 1)",,,,,,,,,,,,,,,,,
97,"(0, 1)","(1, 7)","(4, 1)","(7, 1)","(24, 1)","(32, 1)","(77, 1)",,,,,,,,,,,,,,
98,"(4, 1)","(6, 25)","(7, 12)","(10, 2)","(14, 1)","(15, 2)","(17, 2)","(23, 1)","(28, 1)",,,,,,,,,,,,
99,"(5, 1)","(7, 1)","(10, 6)","(13, 5)","(14, 1)",,,,,,,,,,,,,,,,
100,"(4, 1)","(5, 1)","(6, 1)","(7, 3)","(12, 1)","(13, 20)","(48, 1)",,,,,,,,,,,,,,
101,"(0, 1)","(1, 5)","(4, 2)","(5, 4)","(6, 4)","(7, 21)","(10, 8)","(12, 1)","(15, 1)","(17, 2)","(19, 1)","(20, 1)","(25, 1)","(28, 1)","(39, 2)","(43, 2)","(46, 1)","(48, 1)",,,
102,"(4, 1)","(7, 1)","(10, 2)","(12, 18)","(16, 1)","(24, 1)",,,,,,,,,,,,,,,
103,"(4, 1)","(7, 4)","(10, 1)","(12, 8)","(17, 6)",,,,,,,,,,,,,,,,
104,"(0, 2)","(1, 1)","(4, 1)","(6, 10)","(7, 3)","(10, 2)","(12, 2)","(14, 1)","(15, 2)","(37, 2)",,,,,,,,,,,
105,"(0, 4)","(7, 8)","(12, 2)","(30, 1)","(69, 1)",,,,,,,,,,,,,,,,
106,"(0, 9)","(1, 12)","(3, 1)","(4, 1)","(6, 11)","(7, 34)","(8, 1)","(10, 15)","(11, 1)","(12, 30)","(13, 5)","(14, 8)","(16, 1)","(17, 5)","(19, 2)","(20, 2)","(21, 16)","(28, 2)","(32, 1)","(39, 1)","(69, 1)"
107,"(1, 1)","(4, 2)","(6, 16)","(7, 2)","(10, 6)","(12, 1)","(17, 1)","(39, 1)","(78, 3)",,,,,,,,,,,,
108,"(7, 4)","(10, 5)","(13, 1)","(17, 2)",,,,,,,,,,,,,,,,,
109,"(7, 1)","(20, 9)",,,,,,,,,,,,,,,,,,,
110,"(4, 4)","(6, 4)","(7, 8)","(10, 4)","(12, 4)","(14, 1)","(17, 4)","(22, 1)","(24, 1)","(43, 1)","(59, 1)",,,,,,,,,,
111,"(4, 1)","(10, 2)","(17, 1)","(22, 1)","(34, 3)",,,,,,,,,,,,,,,,
112,"(6, 14)","(7, 6)","(21, 1)","(58, 1)",,,,,,,,,,,,,,,,,
113,"(10, 1)","(22, 1)","(24, 1)","(34, 3)",,,,,,,,,,,,,,,,,
114,"(1, 1)","(3, 1)","(4, 1)","(7, 3)","(10, 2)","(12, 1)","(17, 1)","(79, 1)",,,,,,,,,,,,,
115,"(0, 3)","(1, 4)","(2, 1)","(4, 1)","(6, 2)","(7, 8)","(10, 2)","(12, 6)","(14, 4)","(16, 3)","(20, 4)","(31, 1)","(58, 1)",,,,,,,,
116,"(6, 2)","(7, 8)","(10, 1)","(14, 1)","(15, 4)","(17, 2)","(23, 5)",,,,,,,,,,,,,,
117,"(4, 5)","(6, 7)","(7, 2)","(10, 5)","(20, 8)","(28, 1)","(80, 1)",,,,,,,,,,,,,,
118,"(1, 2)","(4, 3)","(5, 1)","(6, 2)","(7, 10)","(10, 1)","(12, 2)","(14, 1)","(24, 1)","(28, 2)","(30, 1)",,,,,,,,,,
119,"(3, 1)","(4, 1)","(6, 1)","(7, 19)","(10, 8)","(13, 1)","(14, 1)","(15, 8)","(20, 12)","(21, 1)","(46, 1)",,,,,,,,,,
120,"(4, 1)","(7, 3)","(9, 1)","(10, 2)","(12, 1)","(34, 1)",,,,,,,,,,,,,,,
121,"(6, 2)","(7, 6)","(15, 2)","(17, 2)","(28, 1)",,,,,,,,,,,,,,,,
122,"(1, 1)","(6, 1)","(7, 2)","(10, 5)","(13, 4)","(17, 1)","(21, 10)","(30, 15)",,,,,,,,,,,,,
123,"(4, 1)","(6, 20)","(10, 1)","(40, 1)",,,,,,,,,,,,,,,,,
124,"(1, 1)","(4, 2)","(6, 4)","(7, 6)","(12, 9)","(15, 1)","(30, 2)",,,,,,,,,,,,,,
125,"(4, 2)","(6, 4)","(7, 1)","(10, 1)","(15, 1)","(17, 1)","(20, 3)","(72, 1)",,,,,,,,,,,,,
126,"(4, 4)","(7, 2)","(9, 1)","(10, 2)","(12, 5)","(14, 1)","(17, 2)",,,,,,,,,,,,,,
127,"(0, 1)","(1, 1)","(4, 7)","(6, 11)","(7, 19)","(10, 5)","(12, 2)","(14, 2)","(17, 2)","(34, 1)","(39, 1)","(56, 4)","(58, 1)",,,,,,,,
128,"(4, 3)","(6, 22)","(7, 1)","(12, 2)","(17, 3)","(28, 2)","(30, 8)","(40, 2)",,,,,,,,,,,,,
129,"(1, 3)","(7, 1)","(10, 3)","(19, 1)","(20, 1)",,,,,,,,,,,,,,,,
130,"(6, 1)","(12, 3)","(17, 1)","(22, 1)","(30, 2)","(34, 1)",,,,,,,,,,,,,,,
131,"(4, 2)","(6, 1)","(7, 5)","(10, 4)","(12, 1)","(13, 1)","(14, 2)","(15, 1)","(17, 1)","(30, 3)","(39, 1)",,,,,,,,,,
132,"(6, 10)","(10, 1)","(13, 2)","(43, 2)",,,,,,,,,,,,,,,,,
133,"(7, 1)",,,,,,,,,,,,,,,,,,,,
134,"(6, 18)","(7, 2)","(10, 1)","(66, 1)",,,,,,,,,,,,,,,,,
135,"(0, 8)","(1, 19)","(4, 1)","(10, 10)","(12, 6)","(24, 1)","(37, 1)","(38, 3)","(43, 7)",,,,,,,,,,,,
136,"(6, 1)","(7, 5)","(10, 4)","(17, 1)","(28, 6)","(43, 3)",,,,,,,,,,,,,,,
137,"(4, 4)","(7, 3)","(10, 3)","(17, 2)","(81, 1)",,,,,,,,,,,,,,,,
138,"(0, 1)","(4, 1)","(5, 1)","(6, 3)","(7, 11)","(10, 2)","(12, 3)","(14, 1)","(15, 1)","(30, 1)","(58, 1)",,,,,,,,,,
139,"(0, 1)","(1, 8)","(4, 2)","(7, 1)","(10, 5)","(12, 10)","(14, 2)","(17, 1)","(19, 1)","(22, 1)","(25, 1)","(34, 1)","(46, 1)","(82, 1)",,,,,,,
140,"(0, 2)","(4, 5)","(6, 8)","(7, 24)","(10, 3)","(15, 1)","(17, 3)","(28, 2)",,,,,,,,,,,,,
141,"(0, 3)","(4, 3)","(5, 3)","(6, 15)","(7, 15)","(10, 1)","(12, 11)","(14, 4)","(15, 1)","(17, 1)","(20, 1)","(21, 1)",,,,,,,,,
142,"(4, 6)","(7, 9)","(10, 3)","(15, 2)","(19, 1)","(20, 1)",,,,,,,,,,,,,,,
143,"(4, 1)","(6, 4)","(7, 8)","(10, 14)","(12, 9)","(13, 3)","(14, 3)","(15, 1)","(17, 5)","(21, 1)","(27, 2)","(30, 1)","(39, 1)",,,,,,,,
144,"(4, 1)","(6, 10)","(7, 5)","(12, 3)","(17, 1)","(83, 1)",,,,,,,,,,,,,,,
145,"(4, 1)","(6, 4)","(10, 4)","(12, 5)","(17, 1)",,,,,,,,,,,,,,,,
146,"(0, 1)","(1, 1)","(5, 2)","(6, 2)","(7, 15)","(10, 3)","(12, 3)","(34, 1)","(39, 1)",,,,,,,,,,,,
