,0,1
0,karlafalcao,"['tuliohmendes', 'thiagolmm', 'dayvsonlima', 'Nerdsolutions', 'arthuralvim', 'rafaelguinho', 'guiocavalcanti', 'marcelocost', 'manunejaim', 'esdrascavalcs', 'mstred', 'brunocasanova', 'cusspvz', 'angusshire', 'adilsonmandlate', 'FranciscoMarinho', 'tpmarcs', 'deivisondfs2', 'isabellyfd', 'renanoaraujo', 'leite', 'yankasantos', 'fecalemos', 'helenaelena', 'hamorim', 'smzakirhossain', 'shawon14012', 'dalinhuang99', '1530266212', 'renespeck', 'localjo', 'nfultz', 'jbwestphal']"
1,karlafalcao,"['tuliohmendes', 'thiagolmm', 'dayvsonlima', 'Nerdsolutions', 'arthuralvim', 'rafaelguinho', 'guiocavalcanti', 'marcelocost', 'manunejaim', 'esdrascavalcs', 'mstred', 'brunocasanova', 'cusspvz', 'angusshire', 'adilsonmandlate', 'FranciscoMarinho', 'tpmarcs', 'deivisondfs2', 'isabellyfd', 'renanoaraujo', 'leite', 'yankasantos', 'fecalemos', 'helenaelena', 'hamorim', 'smzakirhossain', 'shawon14012', 'dalinhuang99', '1530266212', 'renespeck', 'localjo', 'nfultz', 'jbwestphal']"
